batch_id;ref_id;ref_type;interference;smell
4;89978;"Inline method";Removed;"Divergent Change"
4;89979;"Inline method";Removed;"Divergent Change"
4;89980;"Inline method";Removed;"Divergent Change"
4;89981;"Inline method";Removed;"Divergent Change"
4;89982;"Inline method";Removed;"Divergent Change"
4;89983;"Inline method";Removed;"Divergent Change"
4;89984;"Inline method";Removed;"Divergent Change"
8;293841;"Extract method";Removed;"Feature Envy"
19;103909;"Move method";Removed;"Refused Bequest"
19;103909;"Move method";Removed;"God Class"
19;103909;"Move method";Removed;"God Class"
19;103910;"Move method";Removed;"Refused Bequest"
19;103910;"Move method";Removed;"God Class"
19;103910;"Move method";Removed;"God Class"
22;326889;"Inline method";Removed;"Feature Envy"
22;326889;"Inline method";Removed;"Long Par. List"
22;326889;"Inline method";Removed;"Divergent Change"
24;321153;"Inline method";Removed;"Long Method"
24;321153;"Inline method";Removed;"Feature Envy"
24;321153;"Inline method";Removed;"Long Par. List"
24;321153;"Inline method";Removed;"Long Method"
24;321153;"Inline method";Removed;"Shotgun Surgery"
24;321153;"Inline method";Removed;"Divergent Change"
24;321153;"Inline method";Removed;"Feature Envy"
24;321153;"Inline method";Removed;"Long Method"
24;321153;"Inline method";Removed;"Shotgun Surgery"
25;313928;"Extract method";Removed;"Feature Envy"
27;293680;"Inline method";Removed;"Feature Envy"
31;308468;"Extract method";Removed;"Feature Envy"
34;326438;"Inline method";Removed;"Feature Envy"
47;305432;"Inline method";Removed;"Feature Envy"
47;305432;"Inline method";Removed;"Feature Envy"
47;305432;"Inline method";Removed;"Shotgun Surgery"
63;181013;"Extract method";Removed;"Feature Envy"
63;181013;"Extract method";Removed;"Shotgun Surgery"
64;134085;"Extract method";Removed;"Long Method"
64;134086;"Extract method";Removed;"Long Method"
73;307547;"Inline method";Removed;"Feature Envy"
73;307548;"Inline method";Removed;"Feature Envy"
74;312945;"Extract method";Removed;"Feature Envy"
77;234743;"Inline method";Removed;"Feature Envy"
77;234743;"Inline method";Removed;"Shotgun Surgery"
77;234743;"Inline method";Removed;"Feature Envy"
77;234743;"Inline method";Removed;"Shotgun Surgery"
77;234745;"Extract method";Removed;"Shotgun Surgery"
78;102350;"Extract method";Removed;"Long Method"
78;102350;"Extract method";Removed;"Long Method"
78;102350;"Extract method";Removed;"Long Method"
78;102350;"Extract method";Removed;"Long Method"
78;102350;"Extract method";Removed;"Long Method"
78;102350;"Extract method";Removed;"Long Method"
80;314950;"Move method";Removed;"God Class"
80;314950;"Move method";Removed;"God Class"
82;308522;"Inline method";Removed;"Feature Envy"
