batch,BrainClass,BrainMethod,ClassDataShouldBePrivate,ComplexClass,DataClass,DispersedCoupling,FeatureEnvy,GodClass,IntensiveCoupling,LazyClass,LongMethod,LongParameterList,MessageChain,RefusedBequest,ShotgunSurgery,SpaghettiCode,SpeculativeGenerality
"[u'Extract Method,Rename Method']",,,,0.2692307692307692,,,0.11538461538461539,,,,,,,,,0.15384615384615385,
[u'Rename Method'],,,0.27400468384074944,0.10304449648711944,,,,,,,,,,,,0.27634660421545665,
[u'Move Method'],,,0.3115468409586057,0.20261437908496732,,,,,,,,,,,,0.1111111111111111,
[u'Pull Up Attribute'],,,0.11363636363636363,0.3522727272727273,,,,,,0.10227272727272728,,,,0.13636363636363635,,0.17045454545454544,0.1590909090909091
[u'Pull Up Method'],,,,0.3945945945945946,,,,0.1837837837837838,,,,,,,,0.2,0.3621621621621622
[u'Inline Method'],,,,,,,,,,,,,,,,,
"[u'Move Attribute,Move Method']",,,,0.3395225464190981,,,,0.11140583554376658,,0.11140583554376658,,,,,,0.15119363395225463,0.16445623342175067
"[u'Pull Up Attribute,Pull Up Method']",,,0.18433179723502305,0.4423963133640553,,,,0.22580645161290322,,,,,,0.15207373271889402,,0.24423963133640553,0.4838709677419355
[u'Move Attribute'],,,,0.12674524025385311,,,,,,0.8712601994560291,,,,,,,
"[u'Extract Method,Move Attribute']",,,,0.3114754098360656,,,0.36065573770491804,,,,,,,,,0.14754098360655737,
[u'Extract Method'],,,,0.4468704512372635,,,0.40077632217370207,0.1324599708879185,,,0.2814167879670063,,,,,0.2600679281901989,
"[u'Extract Method,Inline Method']",,,,0.48484848484848486,,,0.6212121212121212,0.18787878787878787,,,0.3212121212121212,0.15151515151515152,,,,0.2909090909090909,
