batch,BrainClass,BrainMethod,ClassDataShouldBePrivate,ComplexClass,DataClass,DispersedCoupling,FeatureEnvy,GodClass,IntensiveCoupling,LazyClass,LongMethod,LongParameterList,MessageChain,RefusedBequest,ShotgunSurgery,SpaghettiCode,SpeculativeGenerality
"[u'Extract Method,Rename Method']",,,,,,,0.15384615384615385,,,,,,,,,,
[u'Rename Method'],,,,,,,,,,,,,,,,,
[u'Move Method'],,,,,,,,,,,,,,,,,
[u'Pull Up Method'],,,,,,,,,,,,,,,,,
[u'Inline Method'],,,,,,,,,,,,,,,,,
"[u'Move Attribute,Move Method']",,,,,,,,,,,,,,,,,
"[u'Pull Up Attribute,Pull Up Method']",,,,,,,,,,,,,,,,,
[u'Move Attribute'],,,,,,,,,,,,,,,,,
"[u'Extract Method,Move Attribute']",,,,0.1346153846153846,,,0.2692307692307692,,,,,,,,,,
[u'Extract Method'],,,,,,,0.11570827489481066,,,,,,,,,,
"[u'Extract Method,Inline Method']",,,,,,,0.12755102040816327,,,,0.11734693877551021,,,,,,
