batch,BrainClass,BrainMethod,ClassDataShouldBePrivate,ComplexClass,DataClass,DispersedCoupling,FeatureEnvy,GodClass,IntensiveCoupling,LazyClass,LongMethod,LongParameterList,MessageChain,RefusedBequest,ShotgunSurgery,SpaghettiCode,SpeculativeGenerality
"[u'Extract Method,Rename Method']",,,,0.2692307692307692,,,0.25,,,,0.11538461538461539,,,,,0.17307692307692307,
[u'Rename Method'],,,,0.12874251497005987,0.10479041916167664,,0.1092814371257485,,,,,,,,,,
[u'Move Method'],,,,0.2247191011235955,,,,0.12921348314606743,,,,,,,,0.12359550561797752,0.11235955056179775
[u'Pull Up Method'],,,,0.391304347826087,,,,0.1956521739130435,,,,,,,,0.1956521739130435,0.32608695652173914
[u'Inline Method'],,,,0.18222222222222223,,,0.4222222222222222,,,,0.11555555555555555,,,,,,
"[u'Move Attribute,Move Method']",,,,0.3356643356643357,,,,0.1258741258741259,,,,,,,,0.17482517482517482,0.16783216783216784
"[u'Pull Up Attribute,Pull Up Method']",,,0.2236842105263158,0.4473684210526316,0.11842105263157894,,,0.25,,,,,,0.13157894736842105,,0.27631578947368424,0.5263157894736842
[u'Move Attribute'],,,,0.2619047619047619,,,,,,0.15079365079365079,,,,,,0.12698412698412698,
"[u'Extract Method,Move Attribute']",,,,0.2692307692307692,,,0.38461538461538464,,,,,,,,,0.15384615384615385,
[u'Extract Method'],,,,0.41164095371669,,,0.3758765778401122,0.12272089761570827,,,0.22720897615708274,,,,,0.24193548387096775,
"[u'Extract Method,Inline Method']",,,,0.4744897959183674,,,0.5867346938775511,0.1836734693877551,,,0.2755102040816326,,,,,0.29591836734693877,
