batch,BrainClass,BrainMethod,ClassDataShouldBePrivate,ComplexClass,DataClass,DispersedCoupling,FeatureEnvy,GodClass,IntensiveCoupling,LazyClass,LongMethod,LongParameterList,MessageChain,RefusedBequest,ShotgunSurgery,SpaghettiCode,SpeculativeGenerality
"[u'Extract Method,Inline Method,Rename Method']",,,,,,,,,,,,,,,,,
"[u'Extract Method,Rename Method']",,,,,,,0.1532567049808429,,,,,,,,,,
"[u'Rename Class,Rename Method']",,,0.136986301369863,0.1643835616438356,,,,,,,,,,,,0.1095890410958904,
[u'Rename Method'],,,,,,,0.17613882863340563,,,,,,,,,,
[u'Move Method'],,,,,,,,,,,,,,,,,
"[u'Move Attribute,Move Method']",,,,0.13043478260869565,,,,,,,,,,,,,
"[u'Extract Method,Extract Superclass']",,,,0.12345679012345678,,,0.48148148148148145,,,,,,,0.1111111111111111,,,
"[u'Extract Method,Move Method,Rename Method']",,,0.11864406779661017,,,,0.13559322033898305,,,,,,,,,,
"[u'Extract Superclass,Rename Method']",,,,,,,0.42028985507246375,,,,,,,,,,
[u'Pull Up Method'],,,,,,,,,,,,,,,,,
[u'Inline Method'],,,,,,,,,,,,,,,,,
[u'Rename Class'],,,,,,,,,,,,,,,,,
[u'Pull Up Attribute'],,,,,,,,,,,,,,,,0.11320754716981132,
"[u'Extract Method,Inline Method,Move Attribute']",,,,0.14754098360655737,,,0.18032786885245902,,,,,,,,,,
"[u'Pull Up Attribute,Pull Up Method']",,,,,,,,,,,,,,,,,
"[u'Move Attribute,Rename Method']",,,,,,,0.32673267326732675,,,,,,,,,,
[u'Move Attribute'],,,,0.125,,,,,,,,,,,,,
"[u'Inline Method,Rename Method']",,,,,,,0.12060301507537688,,,,,,,,,,
"[u'Extract Method,Move Attribute']",,,,0.12418300653594772,,,0.30718954248366015,,,,,,,,,,
[u'Extract Method'],,,,,,,0.10475792988313856,,,,,,,,,,
"[u'Move Method,Rename Method']",,,,0.11688311688311688,,,,,,,,,,,,,
"[u'Extract Method,Move Method']",,,,0.1349206349206349,,,,,,,,,,,,0.14285714285714285,0.10317460317460317
"[u'Extract Method,Inline Method']",,,,,,,0.10966542750929369,,,,,,,,,,
[u'Move Class'],,,,,,,,,,0.12408759124087591,,,,,,,
"[u'Inline Method,Move Attribute']",,,,,,,,,,,,,,,,,
"[u'Extract Method,Move Attribute,Rename Method']",,,,,,,0.3220338983050847,,,,,,,,,0.11864406779661017,
