batch,BrainClass,BrainMethod,ClassDataShouldBePrivate,ComplexClass,DataClass,DispersedCoupling,FeatureEnvy,GodClass,IntensiveCoupling,LazyClass,LongMethod,LongParameterList,MessageChain,RefusedBequest,ShotgunSurgery,SpaghettiCode,SpeculativeGenerality
"[u'Extract Method,Inline Method,Rename Method']",,,,0.23008849557522124,,,0.6902654867256637,0.12389380530973451,,,0.13274336283185842,,,,,0.12389380530973451,
"[u'Extract Method,Rename Method']",,,,0.21551724137931033,,,0.5852490421455939,,,,0.15708812260536398,,,,,0.10344827586206896,
"[u'Rename Class,Rename Method']",,,,,,,,,,,,,,,,,
[u'Rename Method'],,,,,,,0.35878524945770063,,,,,,,,,,
[u'Move Method'],,,,0.2694063926940639,,,,0.1506849315068493,,,,,,,,0.1461187214611872,
"[u'Move Attribute,Move Method']",,,,0.30434782608695654,,,,0.12077294685990338,,0.1111111111111111,,,,,,0.14492753623188406,0.14009661835748793
"[u'Extract Method,Extract Superclass']",,,,0.24691358024691357,,,0.1728395061728395,,,,,,,,,0.1111111111111111,
"[u'Extract Method,Move Method,Rename Method']",,,,0.1694915254237288,,,0.3728813559322034,,,,0.11864406779661017,,0.15254237288135594,,,,0.1016949152542373
"[u'Extract Superclass,Rename Method']",,,,,,,0.13043478260869565,,,,,,,,,,
[u'Pull Up Method'],,,,0.42953020134228187,,,0.10067114093959731,0.1342281879194631,,,,,,,,0.2214765100671141,0.26174496644295303
[u'Inline Method'],,,,,,,0.14285714285714285,,,,,,,,,,
[u'Rename Class'],,,0.13157894736842105,,,,,,,0.19736842105263158,,,,,,,
[u'Pull Up Attribute'],,,0.16981132075471697,0.5094339622641509,,,,,,0.11320754716981132,,,,0.24528301886792453,,0.22641509433962265,0.22641509433962265
"[u'Extract Method,Inline Method,Move Attribute']",,,,,,,,,,0.8360655737704918,,,,,,,
"[u'Pull Up Attribute,Pull Up Method']",,,0.19626168224299065,0.5046728971962616,,,,0.2523364485981308,,,,,,0.14953271028037382,,0.3364485981308411,0.514018691588785
"[u'Move Attribute,Rename Method']",,,,0.2079207920792079,,,,,,,,,,,,,
[u'Move Attribute'],,,,0.29435483870967744,,,,,,,,,,,,0.17338709677419356,
"[u'Inline Method,Rename Method']",,,,0.18592964824120603,,,0.5226130653266332,,,,0.11557788944723618,,,,,0.10552763819095477,
"[u'Extract Method,Move Attribute']",,,,0.2875816993464052,,,0.39869281045751637,,,,,,,,,0.1503267973856209,
[u'Extract Method'],,,,0.4469949916527546,,,0.4403171953255426,0.1293823038397329,,,0.24540901502504173,,,,,0.25459098497495825,
"[u'Move Method,Rename Method']",,,,,,,0.11688311688311688,,,,,,,,,0.44155844155844154,
"[u'Extract Method,Move Method']",,,,0.21428571428571427,,,0.626984126984127,,,,0.16666666666666666,,0.15079365079365079,,,0.14285714285714285,
"[u'Extract Method,Inline Method']",,,,0.40892193308550184,,,0.4721189591078067,0.12825278810408922,,,0.2211895910780669,0.13382899628252787,,,,0.20817843866171004,
[u'Move Class'],,,,,,,,,,0.22627737226277372,,,,,,,
"[u'Inline Method,Move Attribute']",,,,,,,,,,0.931095406360424,,,,,,,
"[u'Extract Method,Move Attribute,Rename Method']",,,0.1016949152542373,0.2711864406779661,,,0.3389830508474576,,,,,,,,,,
